Date,MKT,SMB,HML,RMW,CMA,RF
2012-08-27,-0.0006,0.0012,-0.0012,0.0003,-0.0016,0.0
2012-08-28,0.0001,0.005699999999999999,-0.0009,-0.0002,-0.0001,0.0
2012-08-29,0.0015,0.0027,0.0012,-0.0016,0.0013,0.0
2012-08-30,-0.008,-0.0044,0.0,0.0,0.0025,0.0
2012-08-31,0.0052,-0.0006,0.0,-0.0006,-0.0033,0.0
2012-09-04,0.0008,0.0092,-0.0016,-0.0028000000000000004,0.0012,0.0
2012-09-05,-0.0005,-0.0004,0.0032,-0.0014000000000000002,0.0004,0.0
2012-09-06,0.0207,-0.0002,0.0034000000000000002,-0.0008,0.0007000000000000001,0.0
2012-09-07,0.0045000000000000005,0.0012,0.0078000000000000005,0.0008,0.0004,0.0
2012-09-10,-0.005699999999999999,0.0029,-0.0007000000000000001,0.0011,0.0038,0.0
2012-09-11,0.0028000000000000004,0.0009,0.0054,-0.0007000000000000001,0.0017000000000000001,0.0
2012-09-12,0.0027,0.0012,0.0031,-0.0040999999999999995,0.0002,0.0
2012-09-13,0.015600000000000001,-0.0031,0.005600000000000001,-0.0033,0.0,0.0
2012-09-14,0.0054,0.006,0.0049,0.0,-0.004,0.0
2012-09-17,-0.0042,-0.003,-0.0079,0.0021,-0.0019,0.0
2012-09-18,-0.0015,-0.0005,-0.0023,-0.0007000000000000001,0.0005,0.0
2012-09-19,0.0018,-0.0014000000000000002,0.0005,-0.0015,0.0029,0.0
2012-09-20,-0.0013,-0.0044,-0.0017000000000000001,-0.0001,0.0013,0.0
2012-09-21,0.0004,0.0045000000000000005,-0.0004,-0.0019,0.0015,0.0
2012-09-24,-0.0026,-0.0015,0.0033,-0.0007000000000000001,0.0046,0.0
2012-09-25,-0.0111,-0.0039000000000000003,-0.0036,-0.0001,0.0039000000000000003,0.0
2012-09-26,-0.005699999999999999,-0.0004,0.0003,0.0013,0.0013,0.0
2012-09-27,0.009899999999999999,0.0023,-0.0015,-0.0006,-0.0034999999999999996,0.0
2012-09-28,-0.0046,-0.003,-0.0025,-0.0001,0.0003,0.0
2012-10-01,0.0026,0.001,0.0023,-0.0003,0.0019,0.0
2012-10-02,0.001,-0.0016,0.0027,-0.0019,0.0004,0.0
2012-10-03,0.0036,-0.0068000000000000005,-0.0002,-0.0034999999999999996,0.0037,0.0
2012-10-04,0.0076,-0.0006,0.0077,-0.0015,0.0021,0.0
2012-10-05,-0.0003,-0.0019,0.0022,-0.001,0.0060999999999999995,0.0
2012-10-08,-0.0036,-0.0017000000000000001,0.0022,0.0002,0.0011,0.0
2012-10-09,-0.0105,-0.0026,0.0034000000000000002,0.0008,0.0003,0.0
2012-10-10,-0.0058,0.0037,0.0026,-0.0034000000000000002,0.0025,0.0
2012-10-11,0.0011,0.0042,0.0068000000000000005,-0.0016,0.0007000000000000001,0.0
